time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
567,768.14,-4.82,760,1370,778240,0.2,0.0043761758133769035,0.0,7590,-0.0008519620168954134,-1.636355721950531,9.99222784e-05,0.0002137468,0.8272712677717209,0.013830253388732672,,
568,767.69,-4.82,761,1371,779264,0.2,0.007365187164396048,0.0,7600,-0.0005774975754320622,-1.7304489135742187,9.9922176e-05,0.00048133405,0.7529181241989136,0.018008678033947945,,
568,767.22,-4.82,762,1372,780288,0.2,0.009873701259493828,0.0,7610,-0.0002092036884278059,-1.7327344179153443,9.99220736e-05,7.534778e-05,0.7046902775764465,0.021316374093294142,,
568,764.01,-4.82,763,1374,781312,0.2,0.005914231762290001,0.0,7620,-0.0006886991090141237,-1.7019196152687073,9.992197120000001e-05,0.00019825116,0.77738918364048,0.016393900848925114,,
568,764.59,-4.82,764,1375,782336,0.2,0.010739991441369057,0.0,7630,-0.0013426261488348246,-1.7359115362167359,9.992186880000001e-05,0.0006757823,0.38431447744369507,0.03001733049750328,,
569,763.27,-4.83,765,1376,783360,0.2,0.007523201406002045,0.0,7640,-0.0009234674740582705,-1.6826743125915526,9.99217664e-05,0.00055419904,0.690738320350647,0.019364836812019347,,
569,758.61,-4.84,766,1377,784384,0.2,0.009765473194420338,0.0,7650,-0.00042576822452247145,-1.6701268315315247,9.9921664e-05,0.0001212706,0.6210168600082397,0.02250649072229862,,
569,759.19,-4.84,767,1378,785408,0.2,0.008368964307010174,0.0,7660,-7.736677071079612e-05,-1.669590425491333,9.99215616e-05,2.9023213e-05,0.709185391664505,0.019136070273816586,,
569,759.06,-4.84,768,1380,786432,0.2,0.0034211045131087303,9.765625e-05,7670,-0.001987734041176736,-1.623402512073517,9.99214592e-05,0.00074197236,0.7260388731956482,0.01653603259474039,,
570,760.19,-4.84,769,1381,787456,0.2,0.0061608268879354,0.0,7680,-0.00033882844727486374,-1.5916869521141053,9.992135680000001e-05,0.0006249975,0.7850533872842789,0.014288680441677571,,
570,759.55,-4.84,770,1382,788480,0.2,0.006278681568801403,0.0,7690,-0.0007288078311830759,-1.6332909345626831,9.99212544e-05,0.00038701965,0.680171012878418,0.016787212714552878,,
570,759.44,-4.84,771,1384,789504,0.2,0.0050815315917134285,0.0,7700,-0.0007138804066926241,-1.6769668698310851,9.992115200000001e-05,0.00024481295,0.7906491905450821,0.014477788098156452,,
570,763.99,-4.84,772,1385,790528,0.2,0.006348524242639542,0.0,7710,-0.00030914107337594033,-1.5901402831077576,9.99210496e-05,0.00013194612,0.7876572459936142,0.01505752494558692,,
