#{"t_start": 1639654336.9164536, "env_id": null}
r,l,t
-4,926,485.167465
-5,481,485.693648
-5,536,486.520112
-5,654,487.234437
-5,790,488.301362
-5,496,488.858978
-5,723,489.842678
-5,610,490.626185
-5,650,491.291746
-4,791,492.314547
-5,458,493.043375
-5,441,493.568258
-5,572,494.232816
-5,528,494.864012
-5,457,495.34511
-5,632,495.93096
-5,469,496.317928
-5,452,496.707082
-5,789,497.378537
-5,588,497.89032
-5,593,498.459659
-5,523,498.999988
-5,615,499.656806
-5,459,500.048852
-5,744,500.686646
-5,403,501.049764
-5,609,501.722436
-5,527,502.289171
-5,541,502.817854
-5,448,503.172018
-5,886,504.043699
-5,633,504.801241
-5,504,505.291305
-5,517,505.82004
-5,745,506.642936
-5,432,507.094057
-5,848,508.068915
-5,546,508.666447
-5,594,509.258474
-5,443,509.677203
-5,599,510.429538
-5,599,510.991151
-5,541,511.527625
-5,538,511.951281
-5,462,512.379391
-5,520,512.808361
-5,510,513.217156
-5,831,514.100793
-5,686,514.690112
-5,937,515.52018
-5,614,516.057025
-5,395,516.409993
-5,768,516.980774
-5,456,517.417636
-5,697,518.008674
-5,612,518.489225
-5,580,518.970221
-5,564,519.457708
-5,476,519.845875
-5,871,520.546975
-5,574,521.064523
-5,852,521.768436
-5,641,522.259329
-5,863,522.945091
-5,591,523.419899
-5,661,523.943336
-5,520,524.333048
-5,666,524.857994
-5,721,525.448753
-4,709,526.012689
-5,456,526.369685
-5,420,526.742591
-5,408,527.151657
-5,682,527.776427
-5,577,528.209965
-4,682,528.715612
-5,683,529.226183
-5,554,529.640129
-5,666,530.137792
-4,890,530.799253
-5,647,531.281399
-5,510,531.688451
-4,838,532.328618
-5,710,532.888384
-5,875,533.599507
-5,763,534.423237
-5,483,534.917069
-3,802,535.672153
-5,483,536.076818
-5,563,536.582632
-5,689,537.162918
-5,505,537.596057
-5,624,538.151008
-4,743,538.765235
-5,654,539.266301
-5,653,539.749197
-5,588,540.187205
-5,660,540.680678
-5,647,541.242798
-5,503,541.626345
-5,713,542.207189
-5,702,542.758094
-5,700,543.345656
-5,422,543.851148
-5,462,544.307729
-4,722,544.973377
-5,709,545.57741
-5,567,546.027287
-5,570,546.477676
-5,632,546.961208
-5,572,547.653766
-5,652,548.457212
-5,792,549.357275
-5,557,550.043255
-5,671,551.087019
-5,563,551.969016
-5,622,552.745965
-5,677,553.542962
-5,581,554.284955
-5,744,555.176837
-5,593,555.754912
-5,596,556.471813
-5,400,556.869257
-5,609,557.610931
-5,566,558.242328
-5,1082,560.12199
-5,807,561.080883
-5,594,561.8847
-5,567,562.526886
-5,585,563.561475
-5,613,564.534201
-5,714,565.298809
-5,653,566.116231
-5,539,566.660497
-5,665,567.450428
-5,565,568.158821
-5,457,568.590838
-5,627,569.36405
-5,539,570.051204
-5,495,570.788066
-5,559,571.475166
-5,539,572.340878
-5,434,572.808761
-5,481,573.625673
-4,649,574.347661
-5,597,575.107679
-5,984,576.296847
-5,710,577.283377
-5,690,577.949325
-5,842,579.007537
-5,765,579.973032
-5,579,580.712013
-5,492,581.404197
-5,628,582.036514
-5,748,583.025312
-5,486,583.754147
-5,457,584.355758
-5,680,585.371996
-5,434,585.858727
-5,524,586.524909
-5,541,587.067803
-5,878,588.383016
-5,465,589.036854
-5,747,589.903701
-5,622,590.715523
-5,387,591.127048
-5,455,591.788479
-4,505,592.328158
-5,736,593.224854
-5,626,594.115435
-5,509,594.662175
-5,570,595.525312
-5,1066,596.711719
-5,533,597.214994
-5,568,597.970571
-5,429,598.386027
-5,669,599.182667
-4,824,600.113678
-5,693,600.897575
-5,561,601.626465
-5,869,602.898568
-5,587,603.597081
-5,437,604.350716
-5,567,605.02555
-4,672,605.908234
-5,537,606.474923
-5,549,607.398053
-5,596,608.158067
-5,492,608.629532
